N,long_orig,lat_orig,name,fclass,additional_info,zone,buckets,time_windows,closed,type,id,lat_snapped_trucktest,long_snapped_trucktest,snapped_dist_trucktest
28.0,-73.97024014,40.68490528,702,1.0,702.0,BK1,1.0,,0.0,Customer,,40.684908,-73.970221,1.4543962000000001
29.0,-73.94516605,40.6720929,2092,0.0,2092.0,BK2_3,5.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
30.0,-73.94516605,40.6720929,1932,0.0,1932.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
31.0,-73.94516605,40.6720929,1948,0.0,1948.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
32.0,-73.93390617,40.62222057,2569,1.0,2569.0,BK4,1.0,,0.0,Customer,,40.622196,-73.933881,3.370866924
33.0,-73.93426794,40.69194813,893,1.0,893.0,BK1,1.0,,0.0,Customer,,40.691845,-73.934244,11.574711058
34.0,-73.88391166,40.68200429,1383,0.0,1383.0,BK4,5.0,,0.0,Customer,,40.681956,-73.88423,27.471578349
35.0,-73.88391166,40.68200429,1185,0.0,1185.0,BK4,1.0,,0.0,Customer,,40.681956,-73.88423,27.471578349
36.0,-73.88391166,40.68200429,1125,0.0,1125.0,BK4,1.0,,0.0,Customer,,40.681956,-73.88423,27.471578349
37.0,-73.96776561,40.67563185,1837,1.0,1837.0,BK2_3,1.0,,0.0,Customer,,40.67555,-73.967796,9.452435482
38.0,-74.0016232,40.67260322,1436,1.0,1436.0,BK2_3,1.0,,0.0,Customer,,40.672872,-74.001496,31.695959751
39.0,-73.98985281,40.69267361,481,1.0,481.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
40.0,-73.98985281,40.69267361,308,0.0,308.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
41.0,-73.98985281,40.69267361,303,0.0,303.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
42.0,-73.98985281,40.69267361,323,0.0,323.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
43.0,-73.98985281,40.69267361,319,0.0,319.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
44.0,-73.98985281,40.69267361,550,0.0,550.0,BK2_3,5.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
45.0,-73.98985281,40.69267361,551,0.0,551.0,BK2_3,5.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
46.0,-73.98985281,40.69267361,307,0.0,307.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
47.0,-73.98985281,40.69267361,545,0.0,545.0,BK2_3,5.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
48.0,-73.98985281,40.69267361,324,0.0,324.0,BK2_3,1.0,,0.0,Customer,,40.692392,-73.989924,31.776056273000002
49.0,-73.96737517,40.68969912,515,1.0,515.0,BK2_3,1.0,,0.0,Customer,,40.689538,-73.967345,17.862377371
50.0,-73.94321503,40.70149138,114,1.0,114.0,BK1,1.0,,0.0,Customer,,40.701505,-73.943201,1.813921681
51.0,-73.95085799,40.66904216,765,1.0,765.0,BK1,1.0,,0.0,Customer,,40.668981,-73.950865,6.682033329
52.0,-73.98429585,40.66032225,1531,1.0,1531.0,BK2_3,1.0,,0.0,Customer,,40.660351,-73.984271,3.820199225
53.0,-73.90006673,40.651538,2688,0.0,2688.0,BK4,1.0,,0.0,Customer,,40.651802,-73.900371,38.737638061
54.0,-73.90006673,40.651538,2631,0.0,2631.0,BK4,1.0,,0.0,Customer,,40.651802,-73.900371,38.737638061
55.0,-73.90006673,40.651538,2920,0.0,2920.0,BK4,5.0,,0.0,Customer,,40.651802,-73.900371,38.737638061
56.0,-73.91450774,40.65293957,2254,1.0,2254.0,BK2_3,1.0,,0.0,Customer,,40.652711,-73.91486,39.267355345
57.0,-73.98048755,40.69489831,373,1.0,373.0,BK2_3,1.0,,0.0,Customer,,40.694923,-73.980176,26.200764841
58.0,-73.98048755,40.69489831,342,1.0,342.0,BK2_3,1.0,,0.0,Customer,,40.694923,-73.980176,26.200764841
59.0,-73.94516605,40.6720929,1953,1.0,1953.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
60.0,-73.94516605,40.6720929,1955,0.0,1955.0,BK2_3,5.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
61.0,-73.94516605,40.6720929,1916,0.0,1916.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
62.0,-73.94516605,40.6720929,1918,0.0,1918.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
63.0,-73.91810083,40.68986064,869,1.0,869.0,BK1,1.0,,0.0,Customer,,40.689894,-73.918156,6.121806614
64.0,-73.91810083,40.68986064,870,1.0,870.0,BK1,1.0,,0.0,Customer,,40.689894,-73.918156,6.121806614
65.0,-73.91782899,40.65948909,2386,1.0,2386.0,BK2_3,1.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
66.0,-73.95692623,40.66795691,2056,1.0,2056.0,BK2_3,1.0,,0.0,Customer,,40.668146,-73.957075,24.565766657
67.0,-73.95692623,40.66795691,2041,1.0,2041.0,BK2_3,1.0,,0.0,Customer,,40.668146,-73.957075,24.565766657
68.0,-73.88239102,40.66461319,1218,1.0,1218.0,BK4,1.0,,0.0,Customer,,40.664675,-73.882245,14.336150878
69.0,-73.95809123,40.70515295,142,1.0,142.0,BK1,1.0,,0.0,Customer,,40.705227,-73.958173,10.608761128
70.0,-73.95809123,40.70515295,156,1.0,156.0,BK1,1.0,,0.0,Customer,,40.705227,-73.958173,10.608761128
71.0,-73.98354375,40.69100162,444,1.0,444.0,BK2_3,1.0,,0.0,Customer,,40.690999,-73.983453,7.6167309670000005
72.0,-73.91578337,40.69105961,949,1.0,949.0,BK1,1.0,,0.0,Customer,,40.691078,-73.915821,3.5658558080000002
73.0,-73.91782899,40.65948909,2269,0.0,2269.0,BK2_3,1.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
74.0,-73.91782899,40.65948909,2534,0.0,2534.0,BK2_3,5.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
75.0,-73.91782899,40.65948909,2300,0.0,2300.0,BK2_3,1.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
76.0,-73.91782899,40.65948909,2388,1.0,2388.0,BK2_3,1.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
77.0,-73.91920947,40.65991642,2383,1.0,2383.0,BK2_3,1.0,,0.0,Customer,,40.660076,-73.918967,27.290517662
78.0,-73.95662826,40.70649346,197,1.0,197.0,BK1,1.0,,0.0,Customer,,40.706335,-73.956451,22.998799042
79.0,-73.95098352,40.66378432,1987,1.0,1987.0,BK2_3,1.0,,0.0,Customer,,40.663785,-73.950962,1.610271264
80.0,-73.99275721,40.69630421,479,1.0,479.0,BK2_3,1.0,,0.0,Customer,,40.696256,-73.992585,15.726942077
81.0,-73.93956248,40.71176988,171,1.0,171.0,BK1,1.0,,0.0,Customer,,40.71141,-73.939219,49.186230684
82.0,-73.93217364,40.69930105,853,1.0,853.0,BK1,1.0,,0.0,Customer,,40.699152,-73.932063,19.25707712
83.0,-73.93642645,40.69716713,639,1.0,639.0,BK1,1.0,,0.0,Customer,,40.696861,-73.936361,34.285274769
84.0,-73.99127797,40.68421742,1949,0.0,1949.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
85.0,-73.99127797,40.68421742,2093,0.0,2093.0,BK2_3,5.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
86.0,-73.99127797,40.68421742,1933,0.0,1933.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
87.0,-73.93984176,40.62416457,2844,1.0,2844.0,BK4,1.0,,0.0,Customer,,40.624189,-73.939622,18.80455864
88.0,-73.94048584,40.62566963,2879,1.0,2879.0,BK4,1.0,,0.0,Customer,,40.625815,-73.940247,25.58197694
89.0,-73.9711872,40.69932006,375,1.0,375.0,BK2_3,1.0,,0.0,Customer,,40.699287,-73.971186,3.890280242
90.0,-73.9711872,40.69932006,390,1.0,390.0,BK2_3,1.0,,0.0,Customer,,40.699287,-73.971186,3.890280242
91.0,-73.94516605,40.6720929,2065,1.0,2065.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
92.0,-73.92390899,40.70564751,995,1.0,995.0,BK1,1.0,,0.0,Customer,,40.7056,-73.923828,8.809378285
93.0,-73.91407743,40.67900759,725,1.0,725.0,BK1,1.0,,0.0,Customer,,40.679167,-73.914109,17.849766494
94.0,-73.89227019,40.62769971,2770,1.0,2770.0,BK4,1.0,,0.0,Customer,,40.626995,-73.891481,103.135571864
95.0,-73.93642645,40.69716713,631,1.0,631.0,BK1,1.0,,0.0,Customer,,40.696861,-73.936361,34.285274769
96.0,-73.93335718,40.6705684,1833,1.0,1833.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
97.0,-73.93335718,40.6705684,1826,1.0,1826.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
98.0,-73.93335718,40.6705684,1802,1.0,1802.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
99.0,-73.93335718,40.6705684,1878,1.0,1878.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
100.0,-73.93335718,40.6705684,1731,1.0,1731.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
101.0,-73.93335718,40.6705684,1832,1.0,1832.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
102.0,-73.93335718,40.6705684,1877,1.0,1877.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
103.0,-73.90462291,40.63322485,2785,1.0,2785.0,BK4,1.0,,0.0,Customer,,40.633289,-73.904523,11.25092707
104.0,-73.95890451,40.68441106,495,1.0,495.0,BK2_3,1.0,,0.0,Customer,,40.684511,-73.958928,11.342386234
105.0,-73.95890451,40.68441106,496,1.0,496.0,BK2_3,1.0,,0.0,Customer,,40.684511,-73.958928,11.342386234
106.0,-73.95890451,40.68441106,411,1.0,411.0,BK2_3,1.0,,0.0,Customer,,40.684511,-73.958928,11.342386234
107.0,-73.95890451,40.68441106,410,1.0,410.0,BK2_3,1.0,,0.0,Customer,,40.684511,-73.958928,11.342386234
108.0,-73.88869266,40.64097881,2790,1.0,2790.0,BK4,1.0,,0.0,Customer,,40.640992,-73.888676,2.088098423
109.0,-73.91407743,40.67900759,795,0.0,795.0,BK1,3.0,,0.0,Customer,,40.679167,-73.914109,17.849766494
110.0,-73.895448,40.6512443,2786,1.0,2786.0,BK4,1.0,,0.0,Customer,,40.651356,-73.895275,19.063482714
111.0,-73.95217603,40.65391959,2293,0.0,2293.0,BK2_3,1.0,,0.0,Customer,,40.654016,-73.952189,10.804575832
112.0,-73.95217603,40.65391959,2262,0.0,2262.0,BK2_3,1.0,,0.0,Customer,,40.654016,-73.952189,10.804575832
113.0,-73.95217603,40.65391959,2527,0.0,2527.0,BK2_3,5.0,,0.0,Customer,,40.654016,-73.952189,10.804575832
114.0,-73.93338784,40.67868813,711,1.0,711.0,BK1,1.0,,0.0,Customer,,40.678752,-73.933382,7.125014445
115.0,-74.00288508,40.67914381,1505,1.0,1505.0,BK2_3,1.0,,0.0,Customer,,40.679114,-74.002942,5.806505722
116.0,-73.88298344,40.68738135,1053,1.0,1053.0,BK4,1.0,,0.0,Customer,,40.687613,-73.882412,54.44549219
117.0,-73.99247587,40.69820194,466,1.0,466.0,BK2_3,1.0,,0.0,Customer,,40.698245,-73.992637,14.421325391
118.0,-73.95135648,40.64826536,2428,1.0,2428.0,BK2_3,1.0,,0.0,Customer,,40.648061,-73.951338,22.809590962
119.0,-73.93358581,40.62403259,2878,1.0,2878.0,BK4,1.0,,0.0,Customer,,40.624052,-73.933246,28.862603267
120.0,-73.91493866,40.6583666,2396,1.0,2396.0,BK2_3,1.0,,0.0,Customer,,40.658469,-73.914962,11.478389927
121.0,-73.9638836,40.71248344,217,1.0,217.0,BK1,1.0,,0.0,Customer,,40.712292,-73.964003,23.445027413
122.0,-73.91938845,40.61701662,2803,1.0,2803.0,BK4,1.0,,0.0,Customer,,40.617062,-73.919393,5.125552059
123.0,-73.89227019,40.62769971,2970,1.0,2970.0,BK4,1.0,,0.0,Customer,,40.626995,-73.891481,103.135571864
124.0,-73.95417971,40.716033,216,1.0,216.0,BK1,1.0,,0.0,Customer,,40.71579,-73.954441,35.041173082
125.0,-74.00269954,40.67716224,1437,1.0,1437.0,BK2_3,1.0,,0.0,Customer,,40.677177,-74.002753,4.701522252
126.0,-73.97905479,40.68752764,693,1.0,693.0,BK1,1.0,,0.0,Customer,,40.687517,-73.97917699999999,10.206511083
127.0,-73.90711584,40.62019287,2742,1.0,2742.0,BK4,1.0,,0.0,Customer,,40.620178,-73.90711,1.6742467269999999
128.0,-73.91407743,40.67900759,728,1.0,728.0,BK1,1.0,,0.0,Customer,,40.679167,-73.914109,17.849766494
129.0,-73.91407743,40.67900759,727,1.0,727.0,BK1,1.0,,0.0,Customer,,40.679167,-73.914109,17.849766494
130.0,-73.91782899,40.65948909,2394,1.0,2394.0,BK2_3,1.0,,0.0,Customer,,40.65966,-73.918023,24.982024948
131.0,-73.95135648,40.64826536,2426,1.0,2426.0,BK2_3,1.0,,0.0,Customer,,40.648061,-73.951338,22.809590962
132.0,-73.92157897,40.69382539,987,1.0,987.0,BK1,1.0,,0.0,Customer,,40.693733,-73.921414,17.155233354
133.0,-73.93671486,40.69762596,752,1.0,752.0,BK1,1.0,,0.0,Customer,,40.69759,-73.936706,3.835667491
134.0,-73.93671486,40.69762596,786,1.0,786.0,BK1,1.0,,0.0,Customer,,40.69759,-73.936706,3.835667491
135.0,-73.86370753,40.67839216,1197,1.0,1197.0,BK4,1.0,,0.0,Customer,,40.678204,-73.863501,27.157298451
136.0,-73.92705149,40.68854697,887,1.0,887.0,BK1,1.0,,0.0,Customer,,40.688529,-73.927187,11.885906008
137.0,-73.94154585,40.67611914,1823,1.0,1823.0,BK2_3,1.0,,0.0,Customer,,40.676122,-73.941562,1.525934329
138.0,-73.95799316,40.67445384,1824,1.0,1824.0,BK2_3,1.0,,0.0,Customer,,40.674443,-73.957997,1.267457826
139.0,-73.91856874,40.68169976,2413,1.0,2413.0,BK2_3,1.0,,0.0,Customer,,40.681653,-73.918561,5.50654192
140.0,-73.94233271,40.70354834,136,1.0,136.0,BK1,1.0,,0.0,Customer,,40.703522,-73.942579,21.317962478
141.0,-73.94854883,40.65994029,1986,1.0,1986.0,BK2_3,1.0,,0.0,Customer,,40.660241,-73.94858,33.651702053
142.0,-73.91374335,40.6859614,666,1.0,666.0,BK1,1.0,,0.0,Customer,,40.68599,-73.913791,5.114019785
143.0,-73.91374335,40.6859614,663,1.0,663.0,BK1,1.0,,0.0,Customer,,40.68599,-73.913791,5.114019785
144.0,-73.94516605,40.6720929,1994,1.0,1994.0,BK2_3,1.0,,0.0,Customer,,40.672253,-73.945152,17.929482856
145.0,-73.92674437,40.68407859,1020,0.0,1020.0,BK1,5.0,,0.0,Customer,,40.684128,-73.926311,36.944919907
146.0,-73.92674437,40.68407859,846,0.0,846.0,BK1,1.0,,0.0,Customer,,40.684128,-73.926311,36.944919907
147.0,-73.92674437,40.68407859,834,0.0,834.0,BK1,1.0,,0.0,Customer,,40.684128,-73.926311,36.944919907
148.0,-73.95053146,40.68060479,741,1.0,741.0,BK1,1.0,,0.0,Customer,,40.680443,-73.950546,17.812536113
149.0,-73.99275721,40.69630421,451,1.0,451.0,BK2_3,1.0,,0.0,Customer,,40.696256,-73.992585,15.726942077
150.0,-73.99275721,40.69630421,480,1.0,480.0,BK2_3,1.0,,0.0,Customer,,40.696256,-73.992585,15.726942077
151.0,-73.95527583,40.65169826,2554,0.0,2554.0,BK2_3,5.0,,0.0,Customer,,40.651405,-73.955249,32.727183321
152.0,-73.95527583,40.65169826,2287,0.0,2287.0,BK2_3,1.0,,0.0,Customer,,40.651405,-73.955249,32.727183321
153.0,-73.95527583,40.65169826,2318,0.0,2318.0,BK2_3,1.0,,0.0,Customer,,40.651405,-73.955249,32.727183321
154.0,-73.95085799,40.66904216,623,1.0,623.0,BK1,1.0,,0.0,Customer,,40.668981,-73.950865,6.682033329
155.0,-73.9451779,40.69526811,681,1.0,681.0,BK1,1.0,,0.0,Customer,,40.695087,-73.945139,20.218668551
156.0,-73.9255656,40.69112506,955,1.0,955.0,BK1,1.0,,0.0,Customer,,40.691332,-73.9256,23.255450879
157.0,-73.92551359,40.7018131,918,1.0,918.0,BK1,1.0,,0.0,Customer,,40.701699,-73.925311,21.316776243
158.0,-73.99127797,40.68421742,2001,1.0,2001.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
159.0,-73.9761862,40.69132939,418,1.0,418.0,BK2_3,1.0,,0.0,Customer,,40.691327,-73.977689,126.824473644
160.0,-73.9761862,40.69132939,415,1.0,415.0,BK2_3,1.0,,0.0,Customer,,40.691327,-73.977689,126.824473644
161.0,-73.9761862,40.69132939,421,1.0,421.0,BK2_3,1.0,,0.0,Customer,,40.691327,-73.977689,126.824473644
162.0,-73.90069718,40.64404572,2604,0.0,2604.0,BK4,1.0,,0.0,Customer,,40.643895,-73.900932,26.146457639
163.0,-73.90069718,40.64404572,2745,0.0,2745.0,BK4,5.0,,0.0,Customer,,40.643895,-73.900932,26.146457639
164.0,-73.90069718,40.64404572,2584,0.0,2584.0,BK4,1.0,,0.0,Customer,,40.643895,-73.900932,26.146457639
165.0,-73.93546115,40.68450288,976,1.0,976.0,BK1,1.0,,0.0,Customer,,40.684514,-73.935358,8.977134056
166.0,-73.93546115,40.68450288,946,1.0,946.0,BK1,1.0,,0.0,Customer,,40.684514,-73.935358,8.977134056
167.0,-73.87695432,40.64704004,1276,1.0,1276.0,BK4,1.0,,0.0,Customer,,40.646976,-73.877069,12.183327132
168.0,-73.93546115,40.68450288,956,1.0,956.0,BK1,1.0,,0.0,Customer,,40.684514,-73.935358,8.977134056
169.0,-73.87598419,40.66886085,1245,1.0,1245.0,BK4,1.0,,0.0,Customer,,40.669018,-73.876024,17.75918958
170.0,-73.93546115,40.68450288,947,1.0,947.0,BK1,1.0,,0.0,Customer,,40.684514,-73.935358,8.977134056
171.0,-73.92382955,40.60976314,2780,1.0,2780.0,BK4,1.0,,0.0,Customer,,40.609721,-73.923894,7.347498113
172.0,-73.88817796,40.67648963,1228,1.0,1228.0,BK4,1.0,,0.0,Customer,,40.676709,-73.888214,24.420262053
173.0,-73.87376348,40.65482712,1289,1.0,1289.0,BK4,1.0,,0.0,Customer,,40.654948,-73.873855,15.483481464
174.0,-73.93217364,40.69930105,863,1.0,863.0,BK1,1.0,,0.0,Customer,,40.699152,-73.932063,19.25707712
175.0,-73.97905479,40.68752764,895,1.0,895.0,BK1,1.0,,0.0,Customer,,40.687517,-73.97917699999999,10.206511083
176.0,-73.95799316,40.67445384,1845,1.0,1845.0,BK2_3,1.0,,0.0,Customer,,40.674443,-73.957997,1.267457826
177.0,-73.95799316,40.67445384,1844,1.0,1844.0,BK2_3,1.0,,0.0,Customer,,40.674443,-73.957997,1.267457826
178.0,-73.97833581,40.68111815,1736,0.0,1736.0,BK2_3,1.0,,0.0,Customer,,40.681179,-73.978292,7.609275795
179.0,-73.97833581,40.68111815,1891,0.0,1891.0,BK2_3,5.0,,0.0,Customer,,40.681179,-73.978292,7.609275795
180.0,-73.97833581,40.68111815,1757,0.0,1757.0,BK2_3,1.0,,0.0,Customer,,40.681179,-73.978292,7.609275795
181.0,-73.88039139,40.65873778,1196,1.0,1196.0,BK4,1.0,,0.0,Customer,,40.658879,-73.880499,18.095828358
182.0,-73.868435,40.65982286,1242,1.0,1242.0,BK4,1.0,,0.0,Customer,,40.659996,-73.868006,41.292712546
183.0,-73.87841721,40.65798638,1316,1.0,1316.0,BK4,1.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
184.0,-73.94721045,40.68168525,1883,1.0,1883.0,BK2_3,1.0,,0.0,Customer,,40.681366,-73.947144,35.996765614
185.0,-73.89431589,40.66618727,1279,1.0,1279.0,BK4,1.0,,0.0,Customer,,40.666174,-73.894408,7.745164826
186.0,-73.9630461,40.68098213,525,1.0,525.0,BK2_3,1.0,,0.0,Customer,,40.680904,-73.963071,8.872204785000001
187.0,-73.92879613,40.62768849,2735,1.0,2735.0,BK4,1.0,,0.0,Customer,,40.627687,-73.928825,2.548071661
188.0,-73.99127797,40.68421742,2030,1.0,2030.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
189.0,-73.87841721,40.65798638,1182,0.0,1182.0,BK4,1.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
190.0,-73.87841721,40.65798638,1122,0.0,1122.0,BK4,1.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
191.0,-73.87841721,40.65798638,1380,0.0,1380.0,BK4,5.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
192.0,-73.94335769,40.62584483,2948,0.0,2948.0,BK4,5.0,,0.0,Customer,,40.625798,-73.943778,35.803061979
193.0,-73.94335769,40.62584483,2713,0.0,2713.0,BK4,1.0,,0.0,Customer,,40.625798,-73.943778,35.803061979
194.0,-73.94335769,40.62584483,2656,0.0,2656.0,BK4,1.0,,0.0,Customer,,40.625798,-73.943778,35.803061979
195.0,-73.91247912,40.65340071,2768,1.0,2768.0,BK4,1.0,,0.0,Customer,,40.653241,-73.912721,27.218352455
196.0,-73.87841721,40.65798638,1382,0.0,1382.0,BK4,5.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
197.0,-73.87841721,40.65798638,1124,0.0,1124.0,BK4,1.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
198.0,-73.87841721,40.65798638,1184,0.0,1184.0,BK4,1.0,,0.0,Customer,,40.657978,-73.878412,1.023007527
199.0,-73.90816587,40.66522967,2203,1.0,2203.0,BK4,1.0,,0.0,Customer,,40.665309,-73.907685,41.521017161
200.0,-73.95085799,40.66904216,2069,1.0,2069.0,BK2_3,1.0,,0.0,Customer,,40.668981,-73.950865,6.682033329
201.0,-73.89431589,40.66618727,1309,1.0,1309.0,BK4,1.0,,0.0,Customer,,40.666174,-73.894408,7.745164826
202.0,-73.89431589,40.66618727,1319,1.0,1319.0,BK4,1.0,,0.0,Customer,,40.666174,-73.894408,7.745164826
203.0,-73.89431589,40.66618727,1046,1.0,1046.0,BK4,1.0,,0.0,Customer,,40.666174,-73.894408,7.745164826
204.0,-73.91995349,40.61404836,2589,0.0,2589.0,BK4,1.0,,0.0,Customer,,40.614058,-73.919936,1.750962407
205.0,-73.91995349,40.61404836,2610,0.0,2610.0,BK4,1.0,,0.0,Customer,,40.614058,-73.919936,1.750962407
206.0,-73.91995349,40.61404836,2751,0.0,2751.0,BK4,5.0,,0.0,Customer,,40.614058,-73.919936,1.750962407
207.0,-73.91995349,40.61404836,2776,1.0,2776.0,BK4,1.0,,0.0,Customer,,40.614058,-73.919936,1.750962407
208.0,-73.91601488,40.68451807,930,1.0,930.0,BK1,1.0,,0.0,Customer,,40.684209,-73.915954,34.601495885
209.0,-73.93335718,40.6705684,1812,1.0,1812.0,BK2_3,1.0,,0.0,Customer,,40.670713,-73.933343,16.255841772
210.0,-73.99127797,40.68421742,1985,1.0,1985.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
211.0,-73.99127797,40.68421742,2014,1.0,2014.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
212.0,-73.99127797,40.68421742,2015,1.0,2015.0,BK2_3,1.0,,0.0,Customer,,40.683905,-73.991491,38.870886995
213.0,-73.93338784,40.67868813,712,1.0,712.0,BK1,1.0,,0.0,Customer,,40.678752,-73.933382,7.125014445
214.0,-73.92705149,40.68854697,529,1.0,529.0,BK2_3,1.0,,0.0,Customer,,40.688529,-73.927187,11.885906008
215.0,-73.95527583,40.65169826,2320,0.0,2320.0,BK2_3,1.0,,0.0,Customer,,40.651405,-73.955249,32.727183321
